a	1 0 1 1 1 0 
abajur	1 1 0 1 0 0 
banheiro	1 0 1 1 1 0 
cadeira	0 0 0 0 1 0 
cama	1 2 0 1 0 2 
casa	0 1 1 0 0 0 
casal	0 1 0 0 0 1 
congelador	1 0 0 1 0 0 
conta	0 0 0 0 0 1 
cozinha	1 0 1 1 1 0 
de	2 3 0 2 2 4 
e	0 0 1 0 3 0 
em	0 0 0 0 0 1 
escada	1 0 0 1 0 0 
estante	0 0 0 0 1 0 
forno	1 0 0 1 0 0 
garagem	0 0 1 0 0 0 
geladeira	1 0 0 1 1 0 
grande	0 1 1 0 1 1 
janela	0 0 1 0 0 0 
jantar	0 1 0 0 0 0 
loja	1 0 0 1 1 0 
mais	0 0 0 0 0 1 
mesa	1 3 0 1 1 2 
mil	0 0 0 0 0 2 
na	0 1 0 0 0 0 
no	0 2 0 0 0 0 
o	0 0 0 0 0 2 
outro	0 1 0 0 0 0 
pequena	0 1 0 0 0 2 
pequeno	0 0 0 0 1 0 
persa	0 0 0 0 1 0 
pia	2 0 0 2 2 0 
por	0 0 0 0 0 2 
porta	0 0 0 0 1 0 
quarto	0 2 1 0 0 0 
quatro	0 0 0 0 0 1 
que	0 0 0 0 0 1 
reais	0 0 0 0 0 2 
sai	0 0 0 0 0 3 
sala	0 0 1 0 0 0 
solteiro	0 1 0 0 0 1 
tapete	1 1 0 1 1 0 
tem	1 4 1 1 1 0 
um	4 2 2 4 0 0 
uma	6 5 3 6 0 4 
valor	0 0 0 0 0 2 

